EURRUB;D;20210401;000000;88.7128000;90.0128000;88.5613000;89.8380000
EURRUB;D;20210402;000000;89.6940000;90.0280000;89.2840000;89.9450000
EURRUB;D;20210404;000000;89.8890000;90.0120000;89.7920000;89.9370000
EURRUB;D;20210405;000000;89.9560000;90.3940000;89.4720000;90.2124000
EURRUB;D;20210406;000000;90.4350000;91.8540000;89.7503000;91.5460000
EURRUB;D;20210407;000000;91.5460000;92.7357000;91.1659000;91.6740000
EURRUB;D;20210408;000000;91.6720000;91.8917000;91.0388000;91.5270000
EURRUB;D;20210409;000000;91.5200000;92.2084000;91.4360000;92.0800000
EURRUB;D;20210411;000000;92.0800000;92.3520000;91.9479000;92.0027000
EURRUB;D;20210412;000000;92.0627000;92.4066000;91.6496000;92.0241000
EURRUB;D;20210413;000000;92.0241000;92.2010000;90.5008000;90.7670000
EURRUB;D;20210414;000000;90.7227000;91.1440000;90.1897000;91.1190000
EURRUB;D;20210415;000000;91.1290000;92.8446000;90.7130000;90.9710000
EURRUB;D;20210416;000000;90.9533000;91.4320000;90.0964000;90.7980000
EURRUB;D;20210418;000000;90.8410000;91.2450000;90.6863000;90.9191000
EURRUB;D;20210419;000000;90.9105000;92.0640000;90.5734000;91.7867000
EURRUB;D;20210420;000000;91.8131000;92.9371000;91.5926000;92.3240000
EURRUB;D;20210421;000000;92.7494000;92.7923000;91.6274000;92.0298000
EURRUB;D;20210422;000000;92.1347000;92.3570000;90.3343000;90.5956000
EURRUB;D;20210423;000000;90.5966000;90.8090000;89.9835000;90.4100000
EURRUB;D;20210425;000000;90.5540000;90.7950000;90.3720000;90.6220000
EURRUB;D;20210426;000000;90.4894000;91.7020000;90.2253000;90.5370000
EURRUB;D;20210427;000000;90.5362000;91.0283000;90.2360000;90.4650000
EURRUB;D;20210428;000000;90.4120000;90.5368000;89.9282000;90.1305000
EURRUB;D;20210429;000000;90.1442000;90.8830000;89.8887000;90.4190000
EURRUB;D;20210430;000000;90.4150000;90.8304000;90.1474000;90.4000000
EURRUB;D;20210502;000000;90.4410000;91.1090000;90.1360000;90.1700000
EURRUB;D;20210503;000000;90.4530000;91.3833000;90.1280000;90.1736000
EURRUB;D;20210504;000000;90.1733000;90.6269000;89.5910000;89.8000000
EURRUB;D;20210505;000000;89.8000000;89.9360000;89.3855000;89.7905000
EURRUB;D;20210506;000000;89.7242000;89.9500000;89.3520000;89.4725000
EURRUB;D;20210507;000000;89.4929000;89.7950000;89.2080000;89.4950000
EURRUB;D;20210509;000000;89.6940000;90.0000000;89.4070000;89.4515000
EURRUB;D;20210510;000000;89.4465000;90.2780000;89.2351000;90.0714000
EURRUB;D;20210511;000000;90.0659000;90.3542000;89.7670000;89.9867000
EURRUB;D;20210512;000000;89.9867000;90.2340000;89.5696000;89.9169000
EURRUB;D;20210513;000000;89.9750000;90.2050000;89.1245000;89.3710000
EURRUB;D;20210514;000000;89.3820000;89.9470000;89.2203000;89.7210000
EURRUB;D;20210516;000000;89.8860000;90.6210000;89.7240000;90.0280000
EURRUB;D;20210517;000000;90.0060000;90.1457000;89.4882000;89.6497000
EURRUB;D;20210518;000000;89.6497000;90.5140000;89.5220000;90.0490000
EURRUB;D;20210519;000000;89.9022000;90.2800000;89.6020000;89.6237000
EURRUB;D;20210520;000000;89.6620000;90.1070000;89.5620000;89.7312000
EURRUB;D;20210521;000000;89.7568000;90.0934000;89.2840000;89.6540000
EURRUB;D;20210523;000000;89.6470000;89.7600000;89.5050000;89.5747000
EURRUB;D;20210524;000000;89.5785000;90.1678000;89.4540000;89.6733000
EURRUB;D;20210525;000000;89.6489000;90.1310000;89.5560000;89.9253000
EURRUB;D;20210526;000000;89.9253000;90.1603000;89.5018000;89.5509000
EURRUB;D;20210527;000000;89.5896000;89.8200000;89.3593000;89.4367000
EURRUB;D;20210528;000000;89.4793000;89.7263000;88.9769000;89.2110000
EURRUB;D;20210530;000000;89.3260000;89.4020000;88.9671000;89.0529000
EURRUB;D;20210531;000000;89.2374000;89.8610000;89.0767000;89.7850000
EURRUB;D;20210601;000000;89.7852000;90.0720000;89.3694000;89.7946000
EURRUB;D;20210602;000000;89.7880000;90.0179000;89.1307000;89.2969000
EURRUB;D;20210603;000000;89.2982000;89.3680000;88.6592000;88.7818000
EURRUB;D;20210604;000000;88.6587000;89.0090000;88.4482000;88.4950000
EURRUB;D;20210606;000000;88.6290000;89.0610000;88.5430000;88.7240000
EURRUB;D;20210607;000000;88.8720000;88.9085000;88.3660000;88.7350000
EURRUB;D;20210608;000000;88.7280000;88.7872000;87.8474000;87.9138000
EURRUB;D;20210609;000000;87.9469000;88.3550000;87.5500000;88.0227000
EURRUB;D;20210610;000000;88.0191000;88.1460000;87.2278000;87.3118000
EURRUB;D;20210611;000000;87.3098000;87.5380000;86.8360000;87.1380000
EURRUB;D;20210613;000000;87.0940000;87.4110000;87.0665000;87.2241000
EURRUB;D;20210614;000000;87.2251000;87.6625000;87.0405000;87.2411000
EURRUB;D;20210615;000000;87.2411000;87.7162000;86.9534000;87.4066000
EURRUB;D;20210616;000000;87.5940000;87.6020000;86.7693000;86.9850000
EURRUB;D;20210617;000000;86.8220000;87.1519000;85.8968000;86.0210000
EURRUB;D;20210618;000000;86.3150000;86.5096000;85.6800000;86.2580000
EURRUB;D;20210620;000000;86.3240000;86.4990000;86.0260000;86.4630000
EURRUB;D;20210621;000000;86.4470000;87.2615000;86.1670000;87.1200000
EURRUB;D;20210622;000000;86.9573000;87.3010000;86.8020000;86.8964000
